Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
BEIJING SINNET TECH.'A',CN:BCI,1/29/2014,2Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Sinnet Technology 'A'
BEIJING SJ ENP.& NMT.'A',CN:BEK,4/27/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing SJ Environmental Protection and New Material 'A'
BEIJING UTOUR INTL.TRVL. SVS.'A',CN:ABF,1/23/2014,2Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Utour International Travel Services 'A'
BEIJING WATERTEK ITECH. 'A',CN:NOS,6/8/2012,3Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Watertek Information Technology 'A'
BEIJING YANJING BREW.'A',CN:YBA,7/16/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Yanjing Brewery 'A'
BLUEFOCUS COMM.GP.'A',CN:BCF,2/26/2010,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Bluefocus Communication Group 'A'
BY-HEALTH 'A',CN:GBH,12/15/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,By-Health 'A'
CHANGSHENG_BTEC.'A',CN:ZYY,6/5/2012,3Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Changsheng_btec 'A'
CHAOZHOU THREE-CIRCLE (GROUP) 'A',CN:YTR,12/3/2014,1Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Chaozhou Three-Circle (Group) 'A'
CHENGDU KANGHONG PHARM. 'A',CN:CKP,6/26/2015,<1Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Chengdu Kanghong Pharmaceutical 'A'
CHINA AVTN.OPTC.ELTG.'A',CN:CAO,11/1/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China Aviation Optical Electrical Technology 'A'
CHINA BAOAN GP.'A',CN:BAN,8/26/1991,24Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China Baoan Group 'A'
CHINA HS.RY.TECH.'A',CN:JNX,5/7/1992,23Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,China HS Railway Technology 'A'
