,PI
2001-06-04,2318.331
2001-06-11,2309.723
2001-06-18,2261.038
2001-06-25,2321.807
2001-07-02,2298.213
2001-07-09,2261.243
2001-07-16,2235.154
2001-07-23,2264.72
2001-07-30,2042.107
2001-08-06,1971.256
2001-08-13,2044.251
2001-08-20,2020.957
2001-08-27,1907.873
2001-09-03,1898.472
2001-09-10,1938.065
2001-09-17,1867.611
2001-09-24,1877.674
2001-10-01,1844.29
2001-10-08,1803.659
2001-10-15,1760.32
2001-10-22,1585.773
2001-10-29,1774.226
2001-11-05,1752.199
2001-11-12,1691.454
2001-11-19,1742.272
2001-11-26,1779.847
2001-12-03,1837.553
2001-12-10,1820.854
2001-12-17,1734.585
2001-12-24,1671.35
2001-12-31,1712.541
2002-01-07,1660.75
2002-01-14,1546.433
2002-01-21,1422.362
2002-01-28,1418.281
2002-02-04,1575.193
2002-02-11,1571.115
2002-02-18,1571.115
2002-02-25,1595.979
2002-03-04,1592.355
2002-03-11,1735.633
2002-03-18,1693.904
2002-03-25,1748.447
2002-04-01,1677.398
2002-04-08,1711.713
2002-04-15,1711.988
2002-04-22,1700.835
2002-04-29,1739.636
2002-05-06,1742.024
2002-05-13,1696.22
2002-05-20,1608.274
2002-05-27,1622.97
2002-06-03,1548.088
2002-06-10,1583.268
2002-06-17,1561.563
2002-06-24,1781.799
2002-07-01,1790.19
2002-07-08,1808.513
2002-07-15,1761.587
2002-07-22,1754.092
2002-07-29,1738.383
2002-08-05,1726.115
2002-08-12,1705.691
2002-08-19,1715.801
2002-08-26,1743.69
2002-09-02,1741.716
2002-09-09,1692.314
2002-09-16,1674.039
2002-09-23,1672.502
2002-09-30,1650.483
2002-10-07,1650.483
2002-10-14,1598.477
2002-10-21,1591.59
2002-10-28,1570.06
2002-11-04,1600.347
2002-11-11,1571.896
2002-11-18,1516.563
2002-11-25,1461.803
2002-12-02,1459.331
2002-12-09,1464.196
2002-12-16,1471.795
2002-12-23,1494.495
2002-12-30,1428.153
2003-01-06,1394.37
2003-01-13,1448.297
2003-01-20,1548.916
2003-01-27,1563.345
2003-02-03,1567.293
2003-02-10,1547.003
2003-02-17,1564.245
2003-02-24,1549.054
2003-03-03,1594.827
2003-03-10,1535.531
2003-03-17,1536.201
2003-03-24,1545.262
2003-03-31,1579.797
2003-04-07,1584.36
2003-04-14,1690.692
2003-04-21,1644.219
2003-04-28,1609.207
2003-05-05,1592.196
2003-05-12,1603.759
2003-05-19,1628.699
2003-05-26,1643.734
2003-06-02,1650.77
2003-06-09,1602.416
2003-06-16,1633.357
2003-06-23,1582.432
2003-06-30,1555.906
